Time,Gascooler_Valve_System.HPValve.vleFluidB.d,Gascooler_Valve_System.HPValve.vleFluidB.h,Gascooler_Valve_System.HPValve.vleFluidB.p,Gascooler_Valve_System.HPValve.vleFluidB.s,Gascooler_Valve_System.HPValve.vleFluidB.T,Gascooler_Valve_System.HPValve.vleFluidB.M,Gascooler_Valve_System.HPValve.vleFluidB.q,Gascooler_Valve_System.HPValve.vleFluidB.cp,Gascooler_Valve_System.HPValve.vleFluidB.cv,Gascooler_Valve_System.HPValve.vleFluidA.d,Gascooler_Valve_System.HPValve.vleFluidA.h,Gascooler_Valve_System.HPValve.vleFluidA.p,Gascooler_Valve_System.HPValve.vleFluidA.s,Gascooler_Valve_System.HPValve.vleFluidA.T,Gascooler_Valve_System.HPValve.vleFluidA.M,Gascooler_Valve_System.HPValve.vleFluidA.q,Gascooler_Valve_System.HPValve.vleFluidA.cp,Gascooler_Valve_System.HPValve.vleFluidA.cv,Gascooler_Valve_System.HPValve.vleFluidA.w,Gascooler_Valve_System.HPValve.vleFluidA.kappa,Gascooler_Valve_System.HPValve.vleFluidA.beta,Gascooler_Valve_System.HPValve.vleFluidB.beta,Gascooler_Valve_System.HPValve.vleFluidB.kappa,Gascooler_Valve_System.HPValve.vleFluidB.w,Gascooler_Valve_System.HPValve.vleFluidB.drhodh_pxi,Gascooler_Valve_System.HPValve.vleFluidB.drhodp_hxi,Gascooler_Valve_System.HPValve.vleFluidB.gamma,Gascooler_Valve_System.HPValve.vleFluidA.drhodh_pxi,Gascooler_Valve_System.HPValve.vleFluidA.drhodp_hxi,Gascooler_Valve_System.HPValve.vleFluidA.gamma
0,408.936,350000,7.55843e+006,1490.53,305.318,0.0440098,1,81151.6,1554.14,783.341,260000,7.7e+006,1193.15,296.907,0.0440098,0,3519.47,974.022,373.54,3.30586e-008,0.0149001,0.701499,4.61586e-006,166.322,-0.00353497,4.47937e-005,52.2164,-0.00331637,1.14004e-005,3.61334
0.02,406.653,350000,7.50801e+006,1490.94,304.993,0.0440098,1,98591.3,1606.46,781.203,260643,7.7e+006,1195.32,297.089,0.0440098,0,3550.27,975.241,371.103,3.38374e-008,0.0151366,0.851624,5.60866e-006,164.038,-0.00351263,4.58012e-005,61.3718,-0.00333066,1.15247e-005,3.6404
0.04,404.086,350000,7.45273e+006,1491.39,304.636,0.0440098,1,129824,1677.91,778.573,261431,7.7e+006,1197.97,297.31,0.0440098,0,3589.08,976.769,368.121,3.48265e-008,0.0154352,1.11913,7.36822e-006,161.204,-0.00348337,4.71018e-005,77.3723,-0.00334833,1.16799e-005,3.67444
0.06,401.238,350000,7.39339e+006,1491.87,304.251,0.0440098,1,200540,1789.31,775.463,262357,7.7e+006,1201.08,297.566,0.0440098,0,3636.35,978.616,364.618,3.60427e-008,0.0157999,1.72115,1.13021e-005,157.209,-0.00344366,4.90446e-005,112.077,-0.00336937,1.18668e-005,3.71581
0.08,397.115,350000,7.33071e+006,1492.39,303.853,0.0440098,0.923545,229319,5513.56,771.882,263416,7.7e+006,1204.64,297.855,0.0440098,0,3692.72,980.798,360.612,3.7509e-008,0.016236,1.95768,1.28266e-005,99.4832,-0.00308403,0.000108808,50.4111,-0.00339378,1.20866e-005,3.76502
0.1,390.372,350000,7.2653e+006,1492.93,303.462,0.0440098,0.794334,79599.3,5031.1,767.838,264602,7.7e+006,1208.62,298.174,0.0440098,0,3759.01,983.335,356.127,3.92547e-008,0.0167506,0.683317,4.4846e-006,104.588,-0.00302074,9.91568e-005,19.15,-0.00342158,1.23409e-005,3.82271
0.12,383.857,350000,7.19773e+006,1493.51,303.053,0.0440098,0.740439,45456.1,4800.19,763.34,265911,7.7e+006,1213.01,298.518,0.0440098,0,3836.22,986.253,351.185,4.13167e-008,0.0173523,0.391514,2.54461e-006,107.626,-0.0029571,9.40349e-005,11.3142,-0.0034528,1.26315e-005,3.8897
0.14,377.48,350000,7.1285e+006,1494.11,302.63,0.0440098,0.709137,31185.8,4650.63,758.395,267336,7.7e+006,1217.78,298.886,0.0440098,0,3925.71,989.582,345.806,4.37428e-008,0.0180524,0.26977,1.73064e-006,109.946,-0.00289401,9.03918e-005,7.897,-0.00348749,1.2961e-005,3.96704
0.16,371.22,350000,7.05809e+006,1494.73,302.195,0.0440098,0.68834,23559.5,4545.07,753.007,268873,7.7e+006,1222.92,299.272,0.0440098,0,4029.13,993.361,340.012,4.65926e-008,0.0188651,0.204937,1.29633e-006,111.854,-0.00283181,8.75557e-005,6.02075,-0.00352571,1.33321e-005,4.05606
0.18,365.078,350000,6.98698e+006,1495.37,301.751,0.0440098,0.673482,18886.2,4467.26,747.179,270516,7.7e+006,1228.4,299.674,0.0440098,0,4148.6,997.634,333.823,4.99428e-008,0.0198083,0.16536,1.03105e-006,113.488,-0.00277072,8.52327e-005,4.848,-0.00356755,1.37483e-005,4.15844
0.2,359.066,350000,6.9156e+006,1496.03,301.301,0.0440098,0.662384,15760,4409.88,740.916,272260,7.7e+006,1234.22,300.088,0.0440098,0,4286.79,1002.46,327.259,5.38908e-008,0.0209046,0.13898,8.54221e-007,114.905,-0.00271095,8.32897e-005,4.04968,-0.00361308,1.42137e-005,4.27629
0.22,353.195,350000,6.84438e+006,1496.69,300.847,0.0440098,0.653845,13537.9,4366.06,734.219,274101,7.7e+006,1240.35,300.51,0.0440098,0,4447.06,1007.89,320.343,5.85603e-008,0.0221826,0.120291,7.28953e-007,116.173,-0.00265271,8.16053e-005,3.47478,-0.00366239,1.47328e-005,4.41226
0.24,347.487,350000,6.77378e+006,1497.36,300.394,0.0440098,0.647145,11888.5,4332.79,727.086,276035,7.7e+006,1246.78,300.936,0.0440098,0,4633.77,1014,313.095,6.41145e-008,0.0236796,0.106467,6.36286e-007,117.317,-0.00259625,8.0128e-005,3.0431,-0.00371557,1.53113e-005,4.56978
0.26,341.959,350000,6.7042e+006,1498.03,299.942,0.0440098,0.641814,10622.8,4307.58,719.517,278057,7.7e+006,1253.49,301.362,0.0440098,0,4852.29,1020.88,305.543,7.07598e-008,0.0254419,0.0958987,5.65436e-007,118.36,-0.00254175,7.88151e-005,2.70874,-0.00377262,1.59549e-005,4.75306
