;Sample No.;Order;K;TSum;KM;TM;LM;MS Real;MS Ideal;MT Real;MT Ideal
0;1.0;1.0;2.21762018492;14.7633453845;2.2175950088;87.5368805098;2.97353050129;1.02371963667;1.02379946153;0.999999360074;0.999999359948
1;2.0;1.0;7.11860251246;35.3347511219;7.11858721388;76.2840189178;3.75116050819;1.03400472474;1.03446522094;0.999999524331;0.999999524311
2;3.0;1.0;1.62362435206;85.7701699726;1.62362317753;70.4310122243;2.63831260109;1.02514792624;1.02624163097;0.999999587694;0.999999587688
3;4.0;1.0;-4.32767132963;93.173408244;-4.32767056453;64.0557267444;3.27746266711;1.03534793211;1.0358688623;0.999999665554;0.999999665552
4;5.0;1.0;8.31829748385;70.9830334775;8.31807687248;94.2367313551;5.90586348793;1.04343158902;1.04400893639;0.99999928845;0.999999288132
5;6.0;1.0;-9.31782228877;89.5356924445;-9.31756681999;94.6747389408;3.52284242969;1.02478743982;1.02606646245;0.999999255052;0.99999925472
6;7.0;1.0;6.88901951268;32.8643256965;6.88901951268;16.8535046946;5.05341475854;1.23302682051;1.23351745357;0.999999986104;0.999999986104
7;8.0;1.0;0.379777843815;52.8816889726;0.379777839073;54.6236410662;5.10660383248;1.06556606727;1.06615419016;0.999999771612;0.999999771612
8;9.0;1.0;-0.612146037623;79.8290333782;-0.612146024508;56.226406852;6.30456044342;1.0792363128;1.07983230272;0.999999764928;0.999999764928
9;10.0;1.0;-8.89737394771;96.5290126436;-8.89737394771;18.6524055099;7.13268041136;1.21454642334;1.22007293582;0.999999976159;0.999999976159
10;11.0;1.0;4.15065926956;93.9344090395;4.1506592662;47.5818255374;2.46119394973;1.03525923276;1.03626327906;0.999999815607;0.999999815607
11;12.0;1.0;-6.61654445534;96.0081793515;-6.61653797726;71.5766662235;7.71218304969;1.07506672523;1.07659602007;0.99999961643;0.999999616421
12;13.0;1.0;8.34343518132;51.8887668153;8.34343514689;51.535291144;2.93487641176;1.03836679169;1.03995308127;0.99999978532;0.99999978532
13;14.0;1.0;-6.52533141382;52.3620586752;-6.52533140898;47.1759134168;8.13034159815;1.12571566916;1.1257385051;0.999999850239;0.99999985024
14;15.0;1.0;-5.92349128734;46.2115478176;-5.92347301064;78.1651817638;7.1847034647;1.06429310676;1.0650123094;0.999999531236;0.999999531206
15;16.0;1.0;-0.921559074522;92.9542630216;-0.921559074522;26.0873419972;3.81147312214;1.10020607161;1.10539079342;0.99999995211;0.99999995211
16;17.0;1.0;-9.00240314303;38.3143121157;-9.00201583412;98.7918743554;5.07769501482;1.03507444241;1.03603242901;0.999999205283;0.999999204739
17;18.0;1.0;-0.235557860668;36.1201331902;-0.235557858723;53.3584392636;4.52207016861;1.05798729031;1.05981952857;0.99999977915;0.99999977915
18;19.0;1.0;6.93699725907;80.7495400024;6.93699725906;33.1680404766;4.86904484701;1.10449836374;1.10592550598;0.999999922675;0.999999922675
19;20.0;1.0;-9.09825605743;85.7859882489;-9.09825529008;61.0877905215;4.72453200766;1.05436106403;1.05448387085;0.999999707289;0.999999707288
20;21.0;1.0;-8.54624463937;98.3084935514;-8.54591077188;98.0866579201;2.40445178426;1.01600814764;1.01719665602;0.999999186193;0.999999185701
21;22.0;1.0;2.31419015904;85.7608521696;2.31418236125;78.4622006493;9.33763070021;1.08332935302;1.08494049083;0.99999954724;0.999999547207
22;23.0;1.0;-7.07155350097;20.6258286683;-7.07140515891;92.1171734983;6.06363319145;1.04515570357;1.04625178812;0.999999323181;0.999999322936
23;24.0;1.0;-4.83440562572;28.0504968909;-4.83440562572;11.0262669843;6.76092867699;1.20803204183;1.21343106808;0.99999997544;0.999999975441
24;25.0;1.0;-1.23521308223;37.6606760432;-1.23520991421;77.3616183485;2.32464263718;1.01980326226;1.02106039693;0.999999497371;0.999999497346
25;26.0;1.0;4.2893149132;47.0210314678;4.28931491316;39.1303558851;4.6461381851;1.08222080295;1.08473567372;0.999999887333;0.999999887333
26;27.0;1.0;-2.17702435896;69.245898219;-2.17702435896;29.0529403811;9.1677265292;1.22950815284;1.23045290818;0.99999995544;0.99999995544
27;28.0;1.0;2.01025084481;42.3511149928;2.01025084481;16.5916044856;5.37641662885;1.22263641196;1.22883861796;0.999999984892;0.999999984892
28;29.0;1.0;4.94664667002;79.3335568168;4.94664667002;26.4092744639;6.48979857434;1.17998012446;1.18584294599;0.999999959075;0.999999959075
29;30.0;1.0;8.35815368639;47.9559007482;8.35780296707;98.2131553403;9.11461155681;1.06520965884;1.06565642673;0.99999926142;0.999999260897
30;31.0;1.0;9.60677913359;38.1974989415;9.60677759162;63.6625503784;3.84635975445;1.04236589041;1.0424103819;0.999999674047;0.999999674046
31;32.0;1.0;-6.67693446161;33.8936113999;-6.6769344616;35.7186187782;2.99137222127;1.05887224735;1.05909613193;0.999999900885;0.999999900886
32;33.0;1.0;-6.92386706797;65.4354640857;-6.92385250311;76.0309328596;4.45129586006;1.0398344425;1.04108306709;0.99999953384;0.99999953382
33;34.0;1.0;-5.09508936002;45.7246955533;-5.09508936002;22.2293341583;5.89223970687;1.20110964292;1.20251959958;0.999999972288;0.999999972288
34;35.0;1.0;-3.55247602307;19.824988814;-3.55247188101;72.7141566084;4.48424474847;1.04170535067;1.04329765284;0.999999575554;0.999999575544
35;36.0;1.0;-7.51275616063;68.1034271678;-7.51241921722;98.8262386788;9.50007937875;1.06763921559;1.06807999689;0.999999256014;0.999999255451
36;37.0;1.0;-3.35344128956;20.0130586641;-3.35344125252;54.2934980909;5.11429082773;1.06662584571;1.06667119029;0.99999977461;0.99999977461
37;38.0;1.0;1.41375438594;53.9970038221;1.41375241233;73.5996630269;5.69734520123;1.05295454059;1.0545338214;0.999999575161;0.999999575148
38;39.0;1.0;-6.23503992198;72.0260950996;-6.23489589579;92.8974101304;6.20663926845;1.04553686508;1.04695371357;0.999999312689;0.999999312417
39;40.0;1.0;4.71342866911;70.5181284232;4.71342866911;13.6341139253;3.8016958854;1.21041964685;1.21464816038;0.999999990033;0.999999990033
40;41.0;1.0;5.83388417752;67.6099317635;5.83388417752;26.368138388;10.1128195811;1.21628106409;1.21993635056;0.999999952181;0.999999952181
41;42.0;1.0;-5.19160729092;77.3530329358;-5.19160729092;27.6648573826;2.32260333192;1.0552716877;1.0592454018;0.999999940561;0.999999940561
42;43.0;1.0;-4.42409000078;54.8107402215;-4.42408932972;63.4448490207;1.35521296675;1.01320090974;1.01499734406;0.999999657824;0.999999657822
43;44.0;1.0;-8.38124881413;34.2970859772;-8.3812488096;46.6483209738;3.19267980723;1.04712621332;1.04811500316;0.99999982704;0.99999982704
44;45.0;1.0;-7.27964740946;71.4831042869;-7.27964549626;65.816912389;1.24740364689;1.01225112754;1.01331758915;0.999999630536;0.999999630534
